Frame_Number,Width_Pixels,Height_Pixels,Area_Pixels,Depth_mm
1761289199508,84,357,29988,
1761289200161,87,363,31581,
1761289200843,91,362,32942,
1761289201590,96,360,34560,
1761289202253,98,360,35280,
1761289202908,101,356,35956,
1761289203584,105,356,37380,
1761289204262,101,360,36360,
1761289204926,94,365,34310,
1761289205546,100,367,36700,
1761289206258,104,367,38168,
1761289206869,106,363,38478,
1761289207490,114,356,40584,
1761289208178,114,359,40926,
1761289208822,106,362,38372,
1761289209510,102,363,37026,
1761289210175,107,362,38734,
1761289210824,110,360,39600,
1761289211558,115,359,41285,
1761289212236,105,360,37800,
1761289212872,96,359,34464,
1761289213535,93,358,33294,
1761289214196,99,359,35541,
1761289214823,102,361,36822,
1761289215485,97,357,34629,
1761289216142,88,356,31328,
1761289216772,80,352,28160,
1761289217445,80,354,28320,
1761289218048,85,356,30260,
1761289218746,91,358,32578,
1761289219412,82,356,29192,
1761289220066,79,354,27966,
1761289220743,73,351,25623,
1761289221351,72,355,25560,
1761289221993,96,352,33792,
1761289222654,86,345,29670,
1761289223295,86,346,29756,
1761289223968,81,347,28107,
1761289224664,84,346,29064,
1761289225360,86,355,30530,
1761289226012,82,357,29274,
1761289226712,78,354,27612,
1761289227386,81,354,28674,
1761289233025,100,369,36900,
1761289234298,87,350,30450,
1761289234981,77,356,27412,
1761289235624,84,352,29568,
1761289236250,88,351,30888,
1761289236919,99,348,34452,
1761289237617,102,343,34986,
1761289238240,104,343,35672,
1761289238889,103,344,35432,
1761289239513,101,343,34643,
1761289240196,103,341,35123,
1761289240902,97,337,32689,
1761289241613,95,337,32015,
1761289242247,95,337,32015,
1761289242925,95,336,31920,
1761289243657,95,338,32110,
1761289244339,101,341,34441,
1761289245005,98,342,33516,
1761289245743,89,338,30082,
1761289246383,95,334,31730,
1761289247027,93,335,31155,
1761289247688,94,334,31396,
1761289248342,94,336,31584,
1761289249014,105,332,34860,
1761289249650,107,329,35203,
1761289250324,111,330,36630,
1761289251023,118,332,39176,
1761289251717,115,334,38410,
1761289252358,115,332,38180,
1761289253034,113,332,37516,
1761289253676,112,332,37184,
1761289254359,114,332,37848,
1761289255066,113,332,37516,
1761289255615,114,332,37848,
1761289256288,113,332,37516,
1761289256969,113,332,37516,
1761289257653,113,332,37516,
1761289258326,117,333,38961,
1761289259021,118,334,39412,
1761289259705,115,332,38180,
1761289260324,114,332,37848,
1761289260992,114,332,37848,
1761289261640,114,333,37962,
1761289262322,114,333,37962,
1761289262979,113,333,37629,
1761289263674,113,332,37516,
1761289264344,114,332,37848,
1761289265101,114,332,37848,
1761289265723,114,331,37734,
1761289266419,114,331,37734,
1761289267124,113,330,37290,
1761289267797,113,330,37290,
1761289268495,113,330,37290,
1761289269208,115,330,37950,
1761289269949,114,330,37620,
1761289270616,115,330,37950,
1761289271330,115,330,37950,
1761289272021,114,330,37620,
1761289272705,114,331,37734,
1761289273361,112,334,37408,
1761289274015,111,334,37074,
1761289274713,111,337,37407,
1761289275430,114,336,38304,
1761289276113,117,333,38961,
1761289276813,114,331,37734,
1761289277461,113,332,37516,
1761289278143,115,331,38065,
1761289278817,118,331,39058,
1761289279518,126,329,41454,
1761289280202,131,330,43230,
1761289280913,119,331,39389,
1761289281658,116,331,38396,
1761289282342,116,331,38396,
1761289283049,117,333,38961,
1761289283724,119,332,39508,
1761289284451,116,332,38512,
1761289285101,111,334,37074,
1761289285768,111,333,36963,
1761289286453,113,333,37629,
1761289287115,119,332,39508,
1761289287752,117,331,38727,
1761289288420,113,333,37629,
1761289289135,114,332,37848,
1761289289818,115,332,38180,
1761289290467,115,332,38180,
1761289291147,114,334,38076,
1761289291857,115,334,38410,
1761289292542,116,333,38628,
1761289293252,116,334,38744,
1761289293933,116,334,38744,
1761289294647,116,333,38628,
1761289295305,116,333,38628,
1761289295987,116,333,38628,
1761289296695,117,333,38961,
1761289297366,116,332,38512,
1761289298032,115,332,38180,
1761289298611,116,332,38512,
1761289299317,116,332,38512,
1761289299974,117,332,38844,
1761289300593,120,331,39720,
1761289301274,124,330,40920,
1761289301945,126,331,41706,
1761289302639,115,335,38525,
1761289303338,110,335,36850,
1761289304004,109,335,36515,
1761289304723,110,337,37070,
1761289305385,109,341,37169,
1761289306045,109,340,37060,
1761289306688,108,335,36180,
1761289307337,109,335,36515,
1761289308015,108,336,36288,
1761289308623,108,335,36180,
1761289309310,106,336,35616,
1761289310012,107,336,35952,
1761289310671,110,340,37400,
1761289311310,107,340,36380,
1761289311955,106,341,36146,
1761289312646,106,343,36358,
1761289313327,102,341,34782,
1761289313977,99,344,34056,
1761289314667,102,344,35088,
1761289315322,106,343,36358,
1761289316019,95,343,32585,
1761289316607,93,348,32364,
1761289317300,94,345,32430,
1761289317943,96,343,32928,
1761289318631,95,341,32395,
1761289319283,90,344,30960,
1761289319970,89,347,30883,
1761289320617,87,341,29667,
1761289321323,89,339,30171,
1761289322012,90,343,30870,
1761289322712,87,355,30885,
1761289323395,86,363,31218,
1761289324017,89,360,32040,
1761289324686,91,364,33124,
1761289325387,92,364,33488,
1761289326032,92,360,33120,
1761289326732,80,363,29040,
1761289327439,79,366,28914,
1761289328134,82,366,30012,
1761289328778,81,364,29484,
1761289329437,81,366,29646,
1761289330152,88,362,31856,
1761289330814,84,356,29904,
1761289331503,82,357,29274,
1761289332129,83,357,29631,
1761289332794,79,366,28914,
1761289333461,78,368,28704,
1761289334209,78,366,28548,
1761289334758,76,363,27588,
1761289335465,74,363,26862,
1761289336108,79,361,28519,
1761289336784,75,365,27375,
1761289337460,79,365,28835,
1761289338122,78,365,28470,
1761289338790,85,359,30515,
1761289339446,82,364,29848,
1761289340085,85,366,31110,
1761289340738,100,367,36700,
1761289341371,96,366,35136,
1761289342069,91,365,33215,
1761289342781,90,365,32850,
1761289343454,91,364,33124,
1761289344105,91,362,32942,
1761289344802,89,361,32129,
1761289345459,90,361,32490,
1761289346098,93,363,33759,
1761289346794,95,364,34580,
1761289347425,99,363,35937,
1761289348063,104,365,37960,
1761289348717,108,364,39312,
1761289349406,103,362,37286,
1761289350077,100,358,35800,
1761289350753,101,357,36057,
1761289351394,105,360,37800,
1761289351987,104,361,37544,
1761289352659,110,360,39600,
1761289353344,109,361,39349,
1761289354044,107,363,38841,
1761289354691,104,363,37752,
1761289355340,103,357,36771,
1761289356054,104,356,37024,
1761289356715,112,353,39536,
1761289357434,102,356,36312,
1761289358121,99,358,35442,
1761289358769,95,361,34295,
1761289359449,100,359,35900,
1761289360164,94,359,33746,
1761289360815,95,356,33820,
1761289361499,95,356,33820,
1761289362132,95,356,33820,
1761289362790,94,356,33464,
1761289363509,94,356,33464,
1761289364158,95,356,33820,
1761289364820,95,355,33725,
1761289365461,103,355,36565,
1761289366114,101,356,35956,
1761289366827,100,358,35800,
1761289367482,96,357,34272,
1761289368147,91,355,32305,
1761289368797,91,350,31850,
1761289369453,88,353,31064,
1761289370101,82,357,29274,
1761289370761,81,359,29079,
1761289371476,84,360,30240,
1761289372182,97,354,34338,
1761289372858,87,353,30711,
1761289373545,92,347,31924,
1761289374175,91,347,31577,
1761289374881,81,357,28917,
1761289375546,88,362,31856,
1761289376216,82,360,29520,
